id,stem,option1,option2,option3,option4,option5,option6,answer1,answer2,answer1_base,answer2_base
1,"In establishing that the dust she had observed constitutes two percent of the mass in the quadrant, the astronomer showed that the dust’s extreme visual prominence _______ its relatively minor contribution to the total mass of the region.",belies,masks,highlights,nullifies,disproves,accentuates,belies,masks,belie,mask
2,"Writing about advances in climate science is often problematic, in part because the material is so _______: climate science is the study of shifting, interrelated, and sometimes paradoxical patterns.",disheartening,pedestrian,complicated,depressing,knotty,mundane,complicated,knotty,complicated,knotty
3,"There are many insights in the essays collected in Observations on Modernity, but they are embedded in a dense English translation of a dense German original that may make many of them _______ to most readers.",vapid,inaccessible,sagacious,banal,distressing,opaque,inaccessible,opaque,inaccessible,opaque
4,"Noise suppression in phones can play an important role in making cellphone networks more efficient, since when sounds that are _______ to the meaningful signal are transmitted, precious network bandwidth is wasted.",unsuitable,detrimental,irrelevant,confined,limited,extraneous,irrelevant,extraneous,irrelevant,extraneous
5,"Though Edmund certainly had a dignified bearing and made a great first impression, those who became acquainted with him soon realized he had an essentially _______ nature.",pugnacious,deliberate,punctilious,courteous,complacent,truculent,pugnacious,truculent,pugnacious,truculent
6,"The life of a secret agent is dangerous enough, but the life of a double agent is infinitely more _______: a single slip can send an agent crashing to destruction.",arduous,precarious,clandestine,perilous,covert,exhilarating,precarious,perilous,precarious,perilous
7,"Natural aging causes nerves to die off and muscles to weaken, but regular exercise enlarges muscle fibers and can _______ the decline by increasing the strength of the muscle you have left.",speed up,stave off,forestall,facilitate,assist,exploit,stave off,forestall,stave off,forestall
8,"Creativity is no longer seen as _______ inspiration leading to poem or painting, it has come to be thought of as something permeating the whole of a person’s life.",a mundane,a momentary,an illusory,an evanescent,a metaphoric,a prosaic,a momentary,an evanescent,momentary,evanescent
9,"Although legislators on both sides of issues have repeatedly _______ a desire to find a middle ground, until now no acceptable compromise has been achieved.",discussed,proclaimed,professed,rejected,disowned,betrayed,proclaimed,professed,proclaim,profess
10,"The company is so old-fashioned and opposed to innovation that it can seem downright _______.",antediluvian,flighty,archaic,chauvinistic,capricious,patronizing,antediluvian,archaic,antediluvian,archaic
11,"Estimating demographic parameters in marine mammals is challenging, often requiring many years of data to achieve sufficient precision to _______ biologically meaningful change.",effect,tolerate,discern,envisage,withstand,detect,discern,detect,discern,detect
12,"Scientists should hope the faults in their theories will be _______ their peers since the refutation of one hypothesis can free its originator to develop a better one.",discerned by,disregarded by,discovered by,ignored by,opaque to,inspiring to,discerned by,discovered by,discern,discover
13,"In Ramachandran’s opinion, it is perfectly acceptable to propose bold speculations about the brain, even if these speculations seem _______; as Ramachandran frequently remarks, science thrives on risky conjecture.",unfounded,premature,controversial,verifiable,testable,baseless,unfounded,baseless,unfounded,baseless
14,"The concert hall’s suspended ceiling is two-inch-thick plaster that reflects low-frequency sound energy; similarly, all wall surfaces are angled and shaped to _______ sound from the stage throughout the audience area.",diffuse,amplify,spread,dampen,eclipse,deaden,diffuse,spread,diffuse,spread
15,"Any notion of justice in the fortunes of artists is _______: works of equal value and quality produce quite different returns or no returns at all.",baseless,cliché,untenable,insulting,condescending,idealistic,baseless,untenable,baseless,untenable
16,"Agencies responsible for protecting natural resources too often issue permits allowing exploitation of those resources, a process that remains _______ given that agencies have become experts at masking their decisions in scientific terms.",controversial,exacting,obscure,onerous,opaque,misleading,obscure,opaque,obscure,opaque
17,"Since it was committed to the idea of science as an international, politically neutral enterprise, the Royal Society of London refused to _______ members from enemy nations during world wars of the twentieth century.",betray,expel,endorse,oust,sanction,condemn,expel,oust,expel,oust
18,"Coagulation factors are useful proteins whose simple names—many are known only by Roman numerals—_______ their importance and the specificity of their roles in the thinning and clotting of blood.",nullify,obviate,mitigate,belie,mask,accentuate,belie,mask,belie,mask
19,"Despite her rather _______ choices, Moreland was neither a rebellious spirit nor someone who saw herself as anything out of the ordinary.",unconventional,impractical,quirky,flamboyant,successful,lucrative,unconventional,quirky,unconventional,quirky
20,"Despite their cultural and social significance, rapid growth, and widespread appeal in China, video games—unlike traditional media—have received _______ attention from international communication researchers.",undue,scant,excessive,focused,limited,dwindling,scant,limited,scant,limited
21,"Miller reminded his clients that labor relationship is inherently _______: the interests of business owners are diametrically opposed to those of employees.",adversarial,exploitative,mercenary,antagonistic,variable,changeable,adversarial,antagonistic,adversarial,antagonistic
22,"Progressive and reactionary populist movements are not necessarily _______: each may, and usually does, possess features of the other.",dichotomous,untenable,unsustainable,contradictory,subversive,efficacious,dichotomous,contradictory,dichotomous,contradictory
23,"Although one can adduce a myriad of examples of ecosystem disruption by nonindigenous species, nevertheless most introduced species that survive in fact appear to have quite _______ effects on the ecosystem they have invaded.",minimal,trifling,marked,conspicuous,intriguing,deleterious,minimal,trifling,minimal,trifling
24,"Although field studies have linked inbreeding to declines among song sparrow populations, some researchers argue that, in nature, inbreeding proves _______ as a factor when compared with crushing blows from weather changes.",hazardous,momentous,trivial,significant,precarious,inconsequential,trivial,inconsequential,trivial,inconsequential
25,"Harper Lee’s narration in To Kill a Mockingbird is _______, mixing an adult’s and a child’s perspective according to no logic other than the immediate exigencies of the plot.",a paradigm,a hodgepodge,a model,an innovation,a patchwork,an embarrassment,a hodgepodge,a patchwork,hodgepodge,patchwork
26,"The employee had a reputation for fractiousness, but his coworkers found him to be, on the contrary, quite _______.",insightful,affable,sagacious,capable,easygoing,productive,affable,easygoing,affable,easygoing
27,"Even though women in the United States would not gain the right to vote until 1920, throughout the nineteenth century many feminist goals were gradually _______, especially the rights of married women to control their own property.",realized,abandoned,eroded,modified,revised,achieved,realized,achieved,realize,achieve
28,"Edited collections of scholarly essays generally tend to be somewhat uneven: they suffer from the _______ subject matter of the various essays, the lack of an overarching and consistent thesis, and the variable quality of the contributions.",intriguing,heterogeneous,comprehensive,disparate,mediocre,engaging,heterogeneous,disparate,heterogeneous,disparate
29,"In matters of taste, the art patron and collector Peggy Guggenheim was _______: she was for the strangest, the most surprising, the most satisfying, the best, the unique.",a neophyte,a novice,a realist,an extremist,a pragmatist,a zealot,an extremist,a zealot,extremist,zealot
30,"The laboratory maze has grown ever less _______ since it was first invented; instead of hoping to lose a rodent in a labyrinth, today’s scientists design mazes to elicit a few simple, easily measured behaviors.",intricate,extensive,effective,convoluted,useful,prevalent,intricate,convoluted,intricate,convoluted
31,"In mathematics, judgments about the validity of proofs are mediated by peer-reviewed journals; to ensure _______, reviewers are carefully chosen by journal editors, and the identity of scholars whose papers are under consideration are kept secret.",timelessness,originality,fairness,comprehensiveness,objectivity,novelty,fairness,objectivity,fairness,objectivity
32,"Since some contemporary Western dieticians believe that the only function of food is to provide nourishment, these dieticians view an emphasis on the aesthetic dimension of the culinary arts as _______.",unprecedented,unwarranted,illuminating,groundless,promising,novel,unwarranted,groundless,unwarranted,groundless
33,"Members of the union’s negotiating team insisted on several changes to the company’s proposal before they would support it, making it clear that they would _______ no compromise.",disclose,reject,brook,tolerate,repudiate,weigh,brook,tolerate,brook,tolerate
34,"Wilson is wont to emphasize the _______ of ants, how ants with full stomachs will regurgitate liquid food for those without, or how the old will fight so the young can survive.",beneficence,altruism,unpredictability,intelligence,fecundity,fertility,beneficence,altruism,beneficence,altruism
35,"During the Renaissance, the use of optical lenses, which were capable of projecting images onto blank canvases, greatly aided artists by allowing them to accurately observe and depict the external world; in other words, these lenses were instrumental in conveying _______.",idealism,optimism,ambition,realism,sanguinity,verisimilitude,realism,verisimilitude,realism,verisimilitude
36,"The professor’s habitual air of _______ was a misleading front, concealing amazing reserves of patience and a deep commitment to his students’ learning.",cordiality,irascibility,disorganization,conviviality,diffidence,exasperation,irascibility,exasperation,irascibility,exasperation
37,"The beauty of the scientific approach is that even when individual researchers do _______ bias or partiality, others can correct them using a framework of evidence on which everyone broadly agrees.",overreact to,deviate from,succumb to,recoil from,yield to,shrink from,succumb to,yield to,succumb,yield
38,"The reconstructed known work is beautiful and also probably _______: it is the only Hebrew verse written by a woman.",singular,unique,archaic,counterfeit,valuable,fake,singular,unique,singular,unique
39,"In a book that inclines to _______, an epilogue arguing that ballet is dead arrives simply as one more overstatement.",pessimism,misinterpretation,imprecision,vagueness,exaggeration,hyperbole,exaggeration,hyperbole,exaggeration,hyperbole
40,"The political upheaval caught most people by surprise: despite the _______ warnings of some commentators, it had never seemed that imminent.",stern,prescient,prophetic,indifferent,repeated,apathetic,prescient,prophetic,prescient,prophetic
41,"Asserting a need to preserve the _______ that became the hallmark of her predecessor’s tenure, the new director of federal monetary policy refused to subscribe to rigid or mechanistic rules in policy making.",firmness,adaptability,unpredictability,autonomy,strictness,flexibility,adaptability,flexibility,adaptability,flexibility
42,"At first, most of the famous fairy tales seem so implausible and so irrelevant to contemporary life that their _______ is hard to understand.",universality,persistence,appeal,ephemerality,survival,transience,persistence,survival,persistence,survival
