单词,等价词,汉语解释
abandon,shed,放弃
abate,dissipate,减弱
abet,support,教唆，协助
abiding,"enduring, stable",持久的
abjection,wretchedness,落魄，屈辱
abjuration,repudiation,放弃，誓绝
abjure,forswear,公开放弃
abrogate,nullify,废除
absolve,exculpate,免罪，赦免
abstract,"divorce, theoretical",分离，抽象
abstraction,generality,抽象概念
abstruseness,opacity,深奥难懂
abundance,ubiquity,充裕，大量
abundant,dominant,丰富的
accidental,fortuitous,意外的，偶然的
acclaim,"extol, fanfare",赞扬
accommodating,elastic,顺从的，灵活适应的
accurate,"correct, discerning",精确的
acerbic,harsh,尖刻的
acknowledge,presuppose,承认
acme,apogee,顶点，顶峰
acrimonious,vitriolic,尖刻的
acrimony,"bitterness, rancor",尖刻，仇恨
acumen,adroitness,敏锐，精明
acute,penetrating,敏锐的，急性的
adaptable,"flexible, plastic",具适应性的，灵活的
additive,cumulative,附加的，累加的
admiration,regard,钦佩，赞赏
admonishment,scolding,告诫，训诫
adroitness,acumen,熟练，敏捷
adulator,sycophant,谄媚者
advancement,flowering,进步，推进
advantage,benefit,优势，利益
advantageous,expedient,有利的
adverse,inimical,不利的，有害的
advocate,"apologist, proponent",拥护，支持
affected,susceptible,受影响的，做作的
agreeable,excellent,令人愉悦的，适合的
ahistorical,anachronistic,脱离历史的，时代错误的
aid,favor,帮助，援助
alarming,disturbing,令人担忧的，惊人的
allay,palliate,平息，减轻
allied,connected,同盟的，相关的
allure,"attraction, magic",吸引力，诱惑
alluring,promising,诱人的
alter,modify,改变
alterable,mutable,可改变的
altruism,benevolence,利他主义
altruistic,unselfish,利他的，无私的
amalgamation,fusion,融合，合并
ambiguous,enigmatic,模棱两可的
amorphous,"diffuse, nebulous",无定形的，模糊的
amplify,strengthen,放大，增强
anachronistic,ahistorical,时代错误的，过时的
ancillary,subsidiary,辅助的，补充的
animating,inspirational,使有生气的，激励的
annalist,chronicler,编年史编者
annoying,unwelcome,令人恼火的
anodyne,toothless,平淡无奇的，止痛的
anomalous,"exceptional, exotic, singular, unusual",异常的
antagonism,hostility,敌意，对抗
antagonistic,"competing, opposed",敌对的
antecedent,"precedent, precursor",前情，先例
antic,caper,滑稽古怪的
anticipate,precede,预期，先于…发生
anticipation,hopefulness,期盼，预料
antidote,"corrective, respite",解毒剂，矫正方法
antipathetic,inconsistent,反感的，格格不入的
apathy,"indifference, unconcern",冷漠
aphorism,dictum,格言，警句
apogee,acme,最高点，顶峰
apologist,advocate,辩护者
apprehensive,uneasy,忧虑的
appropriate,suitable,恰当的，挪用
appropriation,pilferage,挪用，盗用
apropos,germane,适宜的，相关的
apt,liable,恰当的，易于…的
arbitrary,"gratuitous, haphazard, random",武断的，随意的
arcane,occult,神秘晦涩的
archaic,fusty,古老的，陈旧的
architecture,form,结构，建构
arduous,onerous,费力的，艰巨的
artificial,"contrived, misleading",人工的，虚假的
aspiration,intention,志向，抱负
assert,insist,断言，宣称
assiduous,diligent,勤勉的
assiduousness,industry,勤奋，刻苦
assured,settled,确定的，自信的
astounding,stunning,令人震惊的
astute,perceptive,精明的，敏锐的
attenuate,diminish,减弱，稀释
attraction,"allure, benefit",吸引力
atypical,"exceptional, idiosyncratic",非典型的
augment,supplement,增加，扩大
automatically,mechanistically,自动地，机械地
autonomy,independence,自治，自主
average,undistinguished,普通的，平庸的
avocational,lay,业余的
avoid,"eschew, sidestep",避免
awareness,insight,意识，认识
baffle,flummox,使困惑
ban,disallow,禁止
banal,"insipid, lackluster",陈腐平庸的
bankruptcy,exhaustion,破产，耗尽
barefaced,brazen,厚颜无耻的，公然的
base,vile,卑鄙的
baseless,invalid,无根据的
basic,crude,基本的，粗糙的
be inclined to,be keen on,倾向于
be keen on,be inclined to,热衷于，喜爱
belittling,derogatory,贬低的
belligerence,"pugnacity, truculence",好斗，好战
bemoan,disparage,抱怨，哀叹
benefit,"advantage, attraction",利益，好处
